65: x=0.35435 y=0.50296 w=0.00683 h=0.01046 area=1919 aspect=0.87
66: x=0.73390 y=0.55376 w=0.00607 h=0.00875 area=1897 aspect=0.82
67: x=0.68349 y=0.61763 w=0.02332 h=0.03994 area=1891 aspect=0.98
68: x=0.58554 y=0.59029 w=0.00575 h=0.00932 area=1884 aspect=0.92
69: x=0.74650 y=0.29866 w=0.00597 h=0.00875 area=1871 aspect=0.84
70: x=0.46417 y=0.34643 w=0.00640 h=0.01008 area=1859 aspect=0.90
71: x=0.59298 y=0.48809 w=0.00607 h=0.00932 area=1845 aspect=0.88
72: x=0.59797 y=0.63862 w=0.00618 h=0.00932 area=1845 aspect=0.86
73: x=0.57608 y=0.19445 w=0.00575 h=0.00875 area=1842 aspect=0.87
74: x=0.46782 y=0.77761 w=0.01258 h=0.03480 area=1832 aspect=1.58
75: x=0.40304 y=0.65791 w=0.00499 h=0.01426 area=1826 aspect=1.63
76: x=0.48909 y=0.45889 w=0.02018 h=0.03404 area=1819 aspect=0.96
77: x=0.57685 y=0.57396 w=0.00564 h=0.00951 area=1808 aspect=0.96
78: x=0.63576 y=0.53143 w=0.00618 h=0.00913 area=1800 aspect=0.84
79: x=0.57183 y=0.65102 w=0.00575 h=0.00989 area=1788 aspect=0.98
80: x=0.63090 y=0.57089 w=0.00673 h=0.00932 area=1787 aspect=0.79
81: x=0.59455 y=0.27576 w=0.00607 h=0.00932 area=1775 aspect=0.88
82: x=0.68641 y=0.54258 w=0.00553 h=0.00837 area=1775 aspect=0.86
83: x=0.60065 y=0.55527 w=0.00607 h=0.00856 area=1772 aspect=0.80
84: x=0.25022 y=0.63400 w=0.00521 h=0.01236 area=1758 aspect=1.35
85: x=0.53538 y=0.26250 w=0.00597 h=0.00818 area=1744 aspect=0.78
86: x=0.75048 y=0.73064 w=0.01052 h=0.01141 area=1741 aspect=0.62
87: x=0.60627 y=0.56832 w=0.00586 h=0.00856 area=1734 aspect=0.83
88: x=0.54077 y=0.35962 w=0.00575 h=0.00875 area=1729 aspect=0.87
89: x=0.30719 y=0.72617 w=0.00640 h=0.01236 area=1724 aspect=1.10
90: x=0.66751 y=0.14381 w=0.00510 h=0.01103 area=1721 aspect=1.23
91: x=0.28196 y=0.58074 w=0.00618 h=0.00932 area=1716 aspect=0.86
92: x=0.66762 y=0.35992 w=0.00564 h=0.00856 area=1715 aspect=0.87
93: x=0.44448 y=0.45054 w=0.00553 h=0.00913 area=1698 aspect=0.94
94: x=0.62114 y=0.41789 w=0.00607 h=0.00894 area=1693 aspect=0.84
95: x=0.19229 y=0.73449 w=0.00629 h=0.00894 area=1691 aspect=0.81
96: x=0.47194 y=0.58511 w=0.00575 h=0.00856 area=1688 aspect=0.85
97: x=0.55727 y=0.53386 w=0.00575 h=0.00818 area=1684 aspect=0.81
98: x=0.58623 y=0.74336 w=0.00575 h=0.00913 area=1684 aspect=0.91
99: x=0.71752 y=0.31538 w=0.00553 h=0.00856 area=1679 aspect=0.88
